name,rating,text
Number 16 Restaurant,5,"My husband and I were wowed by our experience at number 16. It was our last meal of our honeymoon, and we wanted a really good dinner. I cannot say enough about this restaurant. The food was exquisite. Everything from the soup to the entrees, to the incredible lemon dessert thing! The service was excellent too! I wish I could remember our servers name. He was super tall with reddish hair. 20 some thing.

I think one of the best references we can give is that we were sitting next to a party who were locals. Will locals as in three hours from the restaurant. They said that they never miss coming to the restaurant every time they’re in town. The next time we are in Glasgow, we will definitely make it back!"
Number 16 Restaurant,5,"A great find thanks to the Michelin Guide, where Number 16 very much deserves to be. Lovely little place with very friendly staff, really delicious food (the cured sea bass to start was absolutely exceptional). Really glad to have found this place: highly recommend."
Number 16 Restaurant,5,"We discovered this wonderful restaurant today. We ate duck leg terrine, cured salmon, venison ragu, pork belly & coconut parfait. Every dish was perfectly balanced and totally delicious. This small, but perfectly formed restaurant, is a must visit! Great service & lovely intimate atmosphere."
Number 16 Restaurant,3,"Yesterday I had a professional dinner at this restaurant with one of my colleagues and a guest we had from Netherlands. The food was “EXCEPTIONAL”. Wonderful tasty dishes! Honestly, one of the most tasty food I have tried at Glasgow. Unfortunately, the service that we enjoyed was below our expectations! The persons who work there were smiley and very friendly but three times made us feel uncomfortable. First, even though we went there early at 5.30 and the restaurant had no other customers besides us, one of the three main dishes they brought us was wrong. It was the order of our guest from Netherlands. The food was very tasty as mentioned before and we didn’t really complain about that. Second, when we ordered our deserts the waitress brought us the bill at the same time without having asked about the bill (maybe the waitress was thinking that we will not like to have an espresso). We also didn’t pay so much attention about that, mainly because we were so happy with the food. Finally, when we had almost finished our deserts and paid, and while we were discussing with our guest, the waitress without asking she brought us our jackets!!! This last one made all of us feel very weird. It was like “you ate, you paid, go out to continue your discussion”. Again to be honest, this broke our good feelings from the wonderful food we enjoyed. So, very good food, associated with not very professional behavior from the persons who work there. Sometimes the small details play very important role on the satisfaction level that a customer receives from a restaurant!"
Number 16 Restaurant,5,"Out for our anniversary dinner..
We both agreed that this was probably the best food we have had in the Glasgow area.

The food was exceptional and the service matched the food..
Great little restaurant with reasonably priced delicious food.. We will definitely be back.."
Ox and Finch,5,"One of the best restaurants in town, in fact I came down twice for lunch in between my conference talks over the past week. I would describe it as modern European cuisine in tapas style plates. Desserts (I had the semifreddo and that deconstructed affogato) are thoughtful and well executed."
Ox and Finch,5,"This review is long overdue. We went to Ox and Finch back in 2022, but I completely forgot to post a review. Fast forward to 2024 and my wife and I are still raving about our meal here. Excellent meal with great service. One of the best meals we've had in all of the UK."
Ox and Finch,5,"We went for dinner yesterday, the staff was amazing, the restaurant was cozy and nice, the food was amazing and our waitress lovely, she even prepared this little surprise even we had not asked for it. We recommend the sea trout and lamb! One of the best meals I’ve had in the UK, so if you’re in Glasgow, book a table and enjoy."
Ox and Finch,4,"It’s overrated. Still, I would recommend it to a friend. We ordered duck salad, cod cheeks, rump fillet, lamb shoulder and warm ginger cake. Duck salad and rump fillet were tasty. Ginger cake was a bit too sweet for my taste. A hit and a miss I would say."
Ox and Finch,5,"We ordered 8 dishes in total (3 people) and everything was very well-seasoned and delicious! 🤤
Highly recommend the lamb shoulders, 🐑 buffalo mozzarella with kale, cod cheek and poached beam 🐟
Rump steak was okay 🥩 but we loved the sauce
Dessert looked beautiful and tasted surreal🥹
Service was quite quick and the staff were very friendly☺️"
