name,rating,text
Number 16 Restaurant,5,"My husband and I were wowed by our experience at number 16. It was our last meal of our honeymoon, and we wanted a really good dinner. I cannot say enough about this restaurant. The food was exquisite. Everything from the soup to the entrees, to the incredible lemon dessert thing! The service was excellent too! I wish I could remember our servers name. He was super tall with reddish hair. 20 some thing.

I think one of the best references we can give is that we were sitting next to a party who were locals. Will locals as in three hours from the restaurant. They said that they never miss coming to the restaurant every time they’re in town. The next time we are in Glasgow, we will definitely make it back!"
Number 16 Restaurant,5,"A great find thanks to the Michelin Guide, where Number 16 very much deserves to be. Lovely little place with very friendly staff, really delicious food (the cured sea bass to start was absolutely exceptional). Really glad to have found this place: highly recommend."
Number 16 Restaurant,5,"My partner & I tried 2 starters, 2 mains and 2 desserts from their 3 course set menu. We love everything! From the service to the plating, and esp the careful & well put together pairing of fusion of flavours in each plate was simply divine. Highly recommended :-)"
Number 16 Restaurant,5,"We discovered this wonderful restaurant today. We ate duck leg terrine, cured salmon, venison ragu, pork belly & coconut parfait. Every dish was perfectly balanced and totally delicious. This small, but perfectly formed restaurant, is a must visit! Great service & lovely intimate atmosphere."
Number 16 Restaurant,5,"Out for our anniversary dinner..
We both agreed that this was probably the best food we have had in the Glasgow area.

The food was exceptional and the service matched the food..
Great little restaurant with reasonably priced delicious food.. We will definitely be back.."
The butterfly and the pig,4,The food was fantastic! The Colin Coley and cauliflower veggie appetizer was fantastic! The sticky toffee pudding was OK. We need a bigger plate and moist pudding. We also created some ambience by lighting our candle. The steak pie looks delicious. My partner and his friend said it was good. We will return!
The butterfly and the pig,5,"Lovely wee place with loads of mismatched tea-sets and teapots! Very cosy and the food was great. You could order the Afternoon Tea (which was NOT expensive for an afternoon tea; I was expecting to pay almost double before I saw the menu) or you could get regular breakfast food, like a really nice Eggs Benedict or French Toast. These were all delicious according to the group I was with! Would definitely recommend, especially if you'd like to bring someone for a nice Afternoon Tea and chat!"
The butterfly and the pig,5,"we ordered Crissssspy mushroom frittersss served with spicy mayo and a side salad, Suzie the smoked salmon mousse, hitting snooze on a bed of toast, served with a side salad, Butterfly and piglet burger and The swimming piggies... Pan seared king scallops served on a black pudding crumb with crispy pork belly, chorizo oil and a smoked bacon salt. The food is wonderful very creative."
The butterfly and the pig,4,"Really nice food. Pricing for drinks was a bit exorbitant but the great service made up for the cost for sure.

They were even so kind as to make our afternoon tea vegetarian friendly at absolutely no notice because I was an idiot and forgot that I was bringing my vegetarian friend with me. 🤦🏼‍♀️😂

Lovely selection of nibbles within the afternoon tea and great value for what you get.

The soup was also amazing. 🥰

Would definitely come again and want to try their restaurant next time!"
The butterfly and the pig,5,"It's such a cute place, definitely worth a visit. Book a table as it's busy and you may need to sit in the basement which isn't as atmospheric. The food was very tasty and affordable too."
Partick Duck Club,4,"Tasty and great atmosphere. But I paid £2.75 for ONE slice of black pudding. That is very dear despite the cost of living crisis.

I did check with the waiter if it was only one slice and the answer was 'yes'.

Apart from this, it's a great place with a great service."
